 4506 gCH2PH    CRP                 gHCP      gH2                                     1.95e-14  0.00      0.0
 4507 gCH3      CRP                 gCH2      gH                                      6.50e-15  0.00      0.0
 4508 gCH3C3N   CRP                 gCH3      gC3N                                    1.95e-14  0.00      0.0
 4509 gCH3C4H   CRP                 gCH3      gC4H                                    1.95e-14  0.00      0.0
 4510 gCH3C5N   CRP                 gCH3      gC5N                                    1.95e-14  0.00      0.0
 4511 gCH3C6H   CRP                 gCH3      gC6H                                    1.95e-14  0.00      0.0
 4512 gCH3C7N   CRP                 gCH3      gC7N                                    1.95e-14  0.00      0.0
 4513 gC2H4O    CRP                 gCH3      gHCO                                    6.83e-15  0.00      0.0
 4514 gC2H4O    CRP                 gCH4      gCO                                     6.83e-15  0.00      0.0
 4515 gC2H3N    CRP                 gCH3      gCN                                     6.19e-14  0.00      0.0
 4516 gCH3NH    CRP                 gCH3N     gH                                      1.24e-13  0.00      0.0
 4517 gCH3OCH3  CRP                 gH2CO     gCH4                                    2.24e-14  0.00      0.0
 4518 gCH4O     CRP                 gCH3      gOH                                     1.95e-14  0.00      0.0
 4519 gCH4O     CRP                 gH2CO     gH2                                     4.12e-14  0.00      0.0
 4520 gCH4      CRP                 gCH2      gH2                                     3.04e-14  0.00      0.0
 4521 gCH5N     CRP                 gHCN      gH2       gH        gH                  1.83e-14  0.00      0.0
 4522 gCHNH     CRP                 gCH       gNH                                     1.30e-14  0.00      0.0
 4523 gClO      CRP                 gCl       gO                                      6.50e-15  0.00      0.0
 4524 gCN       CRP                 gC        gN                                      1.38e-13  0.00      0.0
 4525 gCO       CRP                 gC        gO                                      6.50e-17  0.00      0.0
 4526 gCO2      CRP                 gCO       gO                                      2.22e-14  0.00      0.0
 4527 gCP       CRP                 gC        gP                                      6.50e-15  0.00      0.0
 4528 gCS       CRP                 gC        gS                                      6.50e-15  0.00      0.0
 4529 gFeH      CRP                 gFe       gH                                      1.30e-14  0.00      0.0
 4530 gH2C3N    CRP                 gC2H2     gCN                                     3.90e-14  0.00      0.0
 4531 gH2C3O    CRP                 gC2H2     gCO                                     2.34e-14  0.00      0.0
 4532 gH2C5N    CRP                 gC4H2     gCN                                     3.90e-14  0.00      0.0
 4533 gH2C7N    CRP                 gC6H2     gCN                                     3.90e-14  0.00      0.0
 4534 gH2C9N    CRP                 gC8H2     gCN                                     3.90e-14  0.00      0.0
 4535 gH2CN     CRP                 gCH       gNH                                     1.30e-14  0.00      0.0
 4536 gH2CO     CRP                 gCO       gH2                                     3.46e-14  0.00      0.0
 4537 gH2CS     CRP                 gH2       gCS                                     1.95e-14  0.00      0.0
 4538 gH2O      CRP                 gOH       gH                                      1.26e-14  0.00      0.0
 4539 gH2O2     CRP                 gOH       gOH                                     1.95e-14  0.00      0.0
 4540 gH2S      CRP                 gH2       gS                                      6.70e-14  0.00      0.0
 4541 gH2S2     CRP                 gHS       gHS                                     1.95e-14  0.00      0.0
 4542 gH2SiO    CRP                 gSiO      gH2                                     1.95e-14  0.00      0.0
 4543 gH3C5N    CRP                 gC2H3     gC3N                                    3.90e-14  0.00      0.0
 4544 gH3C7N    CRP                 gC2H3     gC5N                                    3.90e-14  0.00      0.0
 4545 gH3C9N    CRP                 gC2H3     gC7N                                    3.90e-14  0.00      0.0
 4546 gH4C3N    CRP                 gC2H4     gCN                                     3.90e-14  0.00      0.0
 4547 gH5C3N    CRP                 gC2H5     gCN                                     3.90e-14  0.00      0.0
 4548 gHC2NC    CRP                 gC2H      gCN                                     4.49e-14  0.00      0.0
 4549 gHC2O     CRP                 gCO       gCH                                     1.95e-14  0.00      0.0
 4550 gHC3N     CRP                 gC2H      gCN                                     2.24e-14  0.00      0.0
 4551 gHC3O     CRP                 gCO       gC2H                                    1.95e-14  0.00      0.0
 4552 gHC5N     CRP                 gC4H      gCN                                     2.28e-14  0.00      0.0
 4553 gHC7N     CRP                 gC6H      gCN                                     2.28e-14  0.00      0.0
 4554 gHC9N     CRP                 gC8H      gCN                                     2.28e-14  0.00      0.0
 4555 gHCCN     CRP                 gC2N      gH                                      1.30e-13  0.00      0.0
