9: 7585 O         FREEZE              gO                                                1.00e+00  0.00      0.0
12: 6617 gO        DESORB              O                                                 1.00e+00  0.00    300.0
10: 7586 O2        FREEZE              gO2                                               1.00e+00  0.00      0.0
13: 6618 gO2       DESORB              O2                                                1.00e+00  0.00    930.0
11: 7587 O3        FREEZE              gO3                                               1.00e+00  0.00      0.0
14: 6619 gO3       DESORB              O3                                                1.00e+00  0.00   1833.0
